Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-02-12,48005.26156,44857.5,48682.54,44050.1
BTC,2021-02-13,47432.705766,48004.916445,48907.621422,46290.703186
BTC,2021-02-14,47215.517268,47430.407005,48195.28,46300
BTC,2021-02-15,48673.34338,47217.03056,49699.8,47115.1
BTC,2021-02-16,47942.57,48672.056127,49026.5,45902.400764
BTC,2021-02-17,49166.53,47942.57,50563.5,47073.61
BTC,2021-02-18,52132.086774,49165.040963,52619.77819,48973.185525
BTC,2021-02-19,51600.9,52135.034232,52547,50896.610558
BTC,2021-02-20,55947.905479,51601.73,56318.1,50774.5
BTC,2021-02-21,55980.732876,55948.159347,57535.892554,54068.911322
BTC,2021-02-22,57492.185619,55946,58353.777175,55564.543579
BTC,2021-02-23,54147.641321,57492.185145,57564.19,47319.725311
BTC,2021-02-24,48902.980452,54148.040511,54168.84,44982.404844
BTC,2021-02-25,49736.637676,48902.63517,51409.14,47031.47
BTC,2021-02-26,47078.682328,49737.021658,52067.97,46737.5
BTC,2021-02-27,46322.48,47083.095215,48449,44153.01
BTC,2021-02-28,46170.301647,46326.2,48340.9,45055.25
BTC,2021-03-01,45245.4,46170.374444,46621.47,43037.5
BTC,2021-03-02,49639.27577,45240.01,49805.9,45060.809917
BTC,2021-03-03,48490.374241,49640.10079,50231.050659,47077
BTC,2021-03-04,50400,48491.652345,52600.91176,48190.5
BTC,2021-03-05,48355.17808,50400,51779.25,47505.2
BTC,2021-03-06,48770.261958,48356.096068,49462.5,46312
BTC,2021-03-07,48894.999447,48770.243275,49193.846083,47111.9
BTC,2021-03-08,50963.351492,48894.635781,51459,48894.635781
BTC,2021-03-09,52379.992914,50968.590545,52401.864537,49351.646307
BTC,2021-03-10,54913.7,52382.882969,54915.84,51877
BTC,2021-03-11,55900,54916.38,57370.9,53051
BTC,2021-03-12,57798.3811,55890.69,58121.260252,54290
